id,name,description,category,url,frameworks,languages,features,integrations,maturityScore,popularityScore,pricing,notes
"5351e9f4-d07b-4578-846d-bfc05878e188","Lovable","AI-powered platform for creating full-stack websites via natural language.","AI Coding Tools","https://lovable.dev","React;TypeScript;Tailwind CSS;Vite","JavaScript;TypeScript","Website and app builder;UI design;templates","GitHub;Supabase;Stripe;Figma;OpenAI;Anthropic","8.3","8.9","Free tier, $25 pro tier","End-to-end automation, great for MVPs, user-friendly for non-coders"
"3bf6afef-99bd-4fe0-902b-dbebaf3c8a2e","ChatGPT","Conversational AI for code generation, debugging, and programming assistance.","AI Coding Tools","https://chatgpt.com","React;Django;Flask","Python;JavaScript;TypeScript;Java;C++","Code generation;debugging;explanation;natural language to code","OpenAI API;GitHub Copilot;VS Code;Jupyter","9.5","9.8","Free tier, Plus $20/month, Team/Enterprise custom","Versatile, excellent for learning, vast knowledge base"
"a221fbec-f4be-4eff-81e3-bf0eff141a0f","Gemini (CLI)","Google's AI with CLI for code generation and multimodal inputs.","AI Coding Tools","https://gemini.google.com","Android;Web;Flutter","Java;Kotlin;JavaScript;TypeScript","Code Assist;multimodal prompts;CLI;Google Cloud integration","Google Cloud;Android Studio;VS Code;JetBrains","9","9.2","Free with limits, Pro $20/month","Multimodal coding, fast inference, good for mobile/web"
"29d186bf-0e48-4f83-81b6-c167a9c95fe2","Cody","Enterprise AI code assistant for complex codebases, speed, and consistency.","AI Coding Tools","https://sourcegraph.com/cody","All code hosts/editors","All programming languages","Accelerates dev;reusable prompts;enterprise-grade security","All code hosts/editors","8","8","Enterprise custom","Trusted by enterprises, saves 5-6 hours/week, doubles coding speed"
"5d1c0dc9-9931-4926-b557-054305e04955","Claude/Claude Code","AI for developers to write/test/debug/analyze codebases.","AI Coding Tools","https://www.anthropic.com/solutions/coding","All frameworks","All programming languages","Write/test/debug;codebase analysis;GitHub integration;terminal embedding","GitHub;GitLab;Vercel;Cursor;Sourcegraph;Replit","8","9","Custom pricing","Leads SWE-bench (74.5%), 95% test time reduction, clean code"
"a623c78b-30d2-4949-9cf9-23a7a9651a5b","GitHub Copilot","AI pair programmer for contextualized code assistance.","AI Coding Tools","https://github.com/features/copilot","JavaScript;OpenAI GPT-5;Claude Opus 4.1;Gemini 2.0 Flash","All major programming languages","Code completions;chat;explanations;code review;Autofix","VS Code;Visual Studio;Vim;Neovim;JetBrains;Azure Data Studio","9","9.5","Free: $0, Pro: $10/month, Pro+: $39/month, Business/Enterprise custom","Widely adopted, 55% productivity boost, multi-model support"
"bd276cea-0afd-4058-ac40-d9af8e45eda7","IBM watsonx Code Assistant","AI for faster code creation and modernization across SDLC.","AI Coding Tools","https://www.ibm.com/products/watsonx-code-assistant","Python;Java;C;C++;Go;JavaScript;TypeScript","Python;Java;C;C++;Go;JavaScript;TypeScript","Chat recommendations;automate tasks;generate/explain/test code;IP indemnification","Enterprise systems","8","7","30-day free trial, 25% off Essentials Plan for 3 months","IDC MarketScape leader, 90% time savings, 80% legacy code transformed"
"d043f06a-1470-4f19-ad04-41884bca3ef1","Bolt","AI web builder for creating apps/sites via natural language.","AI Coding Tools","https://bolt.new","React;Next.js","JavaScript;TypeScript","Natural language app building;UI generation;code export;rapid prototyping","Stripe;GitHub;OpenAI;Anthropic","7.5","8.2","Custom pricing","Easiest vibe coding, fast MVP creation, user-friendly"
"b2e7fb6b-b713-4ff0-9bb9-7dca5d1cf21f","Cursor","AI code editor for predicting edits and natural language coding.","IDE/Development","https://www.cursor.com","All frameworks","All programming languages","Predicts edits;answers codebase queries;natural language editing","GitHub;OpenAI;Anthropic","7","8","Custom pricing","Trusted by Samsung/Stripe/Shopify, fast autocompletion"
"9091afa4-13d6-4dc5-bc91-a411ef5d3dab","v0","Vercel's AI tool for generating UI components from natural language.","Frontend/Design","https://v0.dev","React;Tailwind CSS","JavaScript;TypeScript","AI UI generation;code export;natural language to design;templates","Vercel;GitHub","8","8.5","Custom pricing","Fast UI prototyping, Vercel ecosystem integration, high-quality code"
